taxon,type,namesake,fictional_universe,character_type,media_type,notes_wiki,kingdom,phylum,class,order,family,genus,species_gbif,scientificName,canonicalName,rank,status,extinct,author_gbif,final_year
Saguinus oedipus,New World monkey,Oedipus Rex,Greek mythology,,Literature,"""Linnaeus had a penchant for giving primates names derived from mythology, sometimes with little obvious rationale. So he may have named this one after the mythical tragic King of Thebes, who unknowingly married his own mother.""",Animalia,Chordata,Mammalia,Primates,Callitrichidae,Saguinus,Saguinus oedipus,"Saguinus oedipus (Linnaeus, 1758)",Saguinus oedipus,SPECIES,ACCEPTED,False,Linnaeus,1758.0
Pseudoeurycea rex,Salamander,Oedipus Rex,Greek mythology,,Literature,Species formerly namedOedipus rex,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Pseudoeurycea,Pseudoeurycea rex,"Pseudoeurycea rex (Dunn, 1921)",Pseudoeurycea rex,SPECIES,ACCEPTED,False,Dunn,1921.0
Oedipodrilus oedipus,Segmented worm,Oedipus Rex,Greek mythology,,Literature,,Animalia,Annelida,Clitellata,Branchiobdellida,Branchiobdellidae,Oedipodrilus,Oedipodrilus oedipus,"Oedipodrilus oedipus Holt, 1967",Oedipodrilus oedipus,SPECIES,ACCEPTED,False,Holt,1967.0
Amblytylus peitho,Leaf bug,Peitho,Greek mythology,,Literature,,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Amblytylus,Amblytylus peitho,"Amblytylus peitho Linnavuori, 1997",Amblytylus peitho,SPECIES,ACCEPTED,False,Linnavuori,1997.0
Atomophora astraia,Leaf bug,Dike/Astraea,Greek mythology,,Literature,,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Atomophora,Atomophora astraia,"Atomophora astraia Linnavuori, 1997",Atomophora astraia,SPECIES,ACCEPTED,False,Linnavuori,1997.0
Pseudotanais gaiae,Tanaid,Gaia,Greek mythology,,Literature,P. gaiaeandP. uranosform a pair ofsister species.,Animalia,Arthropoda,Malacostraca,Tanaidacea,Pseudotanaidae,Pseudotanais,Pseudotanais gaiae,"Pseudotanais gaiae Jakiel, Palero & Błażewicz, 2019",Pseudotanais gaiae,SPECIES,ACCEPTED,False,"Jakiel, Palero & Błażewicz",2019.0
Pseudotanais uranos,Tanaid,Uranus,Greek mythology,,Literature,,Animalia,Arthropoda,Malacostraca,Tanaidacea,Pseudotanaidae,Pseudotanais,Pseudotanais uranos,"Pseudotanais uranos Jakiel, Palero & Błażewicz, 2019",Pseudotanais uranos,SPECIES,ACCEPTED,False,"Jakiel, Palero & Błażewicz",2019.0
Phyllodrepa daedali,Rove beetle,Daedalus,Greek mythology,,Literature,Fossil species found inEoceneBaltic amber.,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Phyllodrepa,Phyllodrepa daedali,"Phyllodrepa daedali Shavrin & Yamamoto, 2019",Phyllodrepa daedali,SPECIES,ACCEPTED,True,Shavrin & Yamamoto,2019.0
Phyllodrepa icari,Rove beetle,Icarus,Greek mythology,,Literature,,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Phyllodrepa,Phyllodrepa icari,"Phyllodrepa icari Shavrin & Yamamoto, 2019",Phyllodrepa icari,SPECIES,ACCEPTED,True,Shavrin & Yamamoto,2019.0
Medusaceratops lokii,Ceratopsiandinosaur,Loki,Norse mythology,,Literature,"Loki has a ""helmet with [...] two giant hooks that come out of the top""",Animalia,Chordata,,,Ceratopsidae,Medusaceratops,Medusaceratops lokii,"Medusaceratops lokii Ryan, Russell & Hartman, 2010",Medusaceratops lokii,SPECIES,ACCEPTED,True,"Ryan, Russell & Hartman",2010.0
Joermungandr bolti,Recumbirostran,Jörmungandr,Norse mythology,,Literature,"""'Joermungandr' the Swedish phoneme of 'Jörmungandr' (gender: masculine) the name of the serpent that dwells in the 'Midgard Sea' from Norse mythology. The specific epithet 'bolti' is in honour of the late palaeontologist John R. Bolt.""",Animalia,Chordata,Amphibia,,,Joermungandr,Joermungandr bolti,"Joermungandr bolti Mann, Calthorpe & Maddin, 2021",Joermungandr bolti,SPECIES,ACCEPTED,True,"Mann, Calthorpe & Maddin",2021.0
Voconia loki,True bug,Loki,Norse mythology,,Literature,"""Named after the cunning trickster from Norse mythology and from the Marvel Comics' character, Loki, since this specimen deceived and tricked authors in a previous study (Hwang & Weirauch 2012) who misidentified it as 'Kayanocoris wegneri'.""",Animalia,Arthropoda,Insecta,Hemiptera,Reduviidae,Voconia,Voconia loki,"Voconia loki Castillo, Rédei & Weirauch, 2022",Voconia loki,SPECIES,ACCEPTED,False,"Castillo, Rédei & Weirauch",2022.0
Gigantactis gargantua,Anglerfish,Gargantua,Gargantua and Pantagruel,,Literature,,Animalia,Chordata,,Lophiiformes,Gigantactinidae,Gigantactis,Gigantactis gargantua,"Gigantactis gargantua Bertelsen, Pietsch & Lavenberg, 1981",Gigantactis gargantua,SPECIES,ACCEPTED,False,"Bertelsen, Pietsch & Lavenberg",1981.0
Gargantuavis,Bird,Gargantua,Gargantua and Pantagruel,,Literature,"A genus of fossil flightless birds from theCretaceousof Europe, and the largest known birds of theMesozoicera; ""generic name from Gargantua, the giant of French folklore made famous byFrançois Rabelais, and avis, Latin for bird""",Animalia,Chordata,Aves,,Gargantuaviidae,Gargantuavis,,"Gargantuavis Buffetaut & Le Loeuff, 1998",Gargantuavis,GENUS,ACCEPTED,True,Buffetaut & Le Loeuff,1998.0
Notoetayoa gargantuai,Xenungulatemammal,Gargantua,Gargantua and Pantagruel,,Literature,"A fossil species of hoofed mammal from thePaleoceneofPatagonia,Argentina, ""Named after the literary character in François Rabelais' sixteenth century story of two eccentric giants, Gargantua and Pantagruel. In allusion to the larger size of this species compared to [its relative]Etayoa bacatensis.""",Animalia,Chordata,Mammalia,,,Notoetayoa,Notoetayoa gargantuai,"Notoetayoa gargantuai Gelfo et al., 2008",Notoetayoa gargantuai,SPECIES,ACCEPTED,True,Gelfo et al.,2008.0
